phase	idx	mib	returncode	outcome	elapsed_s	cur_pre_MiB	avail_pre_MiB	oomKill_pre	oomKill_post	note
STEP	1	128	0	ok	0.1	182.3	1489.7	0	0	
STEP	2	256	0	ok	0.17	182.7	1484.9	0	0	
STEP	3	384	0	ok	0.24	182.7	1492.0	0	0	
STEP	4	512	0	ok	0.33	182.9	1473.8	0	0	
STEP	5	640	0	ok	0.4	183.3	1494.7	0	0	
STEP	6	768	0	ok	0.49	183.5	1505.8	0	0	
STEP	7	896	0	ok	0.72	183.6	1498.0	0	0	
STEP	8	1024	0	ok	0.79	184.0	1495.8	0	0	
STEP	9	1152	0	ok	0.86	184.5	1499.5	0	0	
STEP	10	1280	0	ok	1.04	184.7	1500.0	0	0	
STEP	11	1408	0	ok	1.09	180.6	1495.3	0	0	
STEP	12	1536	0	ok	1.19	87.3	1513.0	0	0	
STEP	13	1664	-9	SIGKILL	1.19	22.1	1578.3	0	1	
BISECT	14	1600	0	ok	1.2	11.6	1603.8	1	1	
BISECT	15	1632	0	ok	1.16	16.8	1581.2	1	1	
CONFIRM	16	1632	0	ok	1.14	16.4	1602.3	1	1	
CONFIRM	17	1664	-9	SIGKILL	1.16	15.8	1601.5	1	2	
