target	iteration	http_code	http_version	remote_ip	dns_ms	tcp_ms	tls_ms	ttfb_ms	total_ms	size_bytes	speed_Bps	redirects	verify_code	curl_rc
google.com	1	200	2	142.251.155.119	1.363	1.695	32.352	36.004	36.377	1527	41977	0	0	0
google.com	2	200	2	142.251.151.119	1.171	1.453	17.377	20.902	21.338	1527	71562	0	0	0
google.com	3	200	2	142.251.157.119	1.262	1.601	14.135	20.455	20.841	1527	73269	0	0	0
github.com	1	200	2	140.82.116.4	1.161	1.409	22.630	124.089	124.248	623	5014	0	0	0
github.com	2	200	2	140.82.116.3	1.110	1.368	20.109	28.498	28.634	623	21757	0	0	0
github.com	3	200	2	140.82.116.3	1.296	1.528	21.800	31.322	31.442	623	19814	0	0	0
pypi.org	1	200	2	151.101.0.223	1.457	1.744	21.116	28.714	30.663	32803	1069790	0	0	0
pypi.org	2	200	2	151.101.64.223	0.998	1.247	21.893	30.509	33.178	32803	988697	0	0	0
pypi.org	3	200	2	151.101.192.223	1.087	1.348	20.189	27.779	29.815	32803	1100218	0	0	0
huggingface.co	1	200	2	3.163.189.90	29.316	29.556	46.815	149.323	149.456	68	454	0	0	0
huggingface.co	2	200	2	3.163.189.90	2.113	2.365	20.334	127.718	127.804	68	532	0	0	0
huggingface.co	3	200	2	99.86.101.56	17.134	17.427	35.041	142.928	143.022	68	475	0	0	0
8.8.8.8-DNS-over-HTTPS	1	200	2	8.8.8.8	0.014	0.325	11.209	17.105	17.385	160	9203	0	0	0
8.8.8.8-DNS-over-HTTPS	2	200	2	8.8.8.8	0.014	0.361	12.940	35.579	35.720	185	5179	0	0	0
8.8.8.8-DNS-over-HTTPS	3	200	2	8.8.8.8	0.013	0.280	11.352	15.004	15.217	160	10514	0	0	0
