tool	available	path	version_probe
python3	yes	/usr/local/bin/python3	Python 3.13.14 [rc=0]
python	yes	/usr/local/bin/python	Python 3.13.14 [rc=0]
pip3	yes	/usr/local/bin/pip3	pip 26.1.2 from /usr/local/lib/python3.13/site-packages/pip (python 3.13) [rc=0]
pip	yes	/usr/local/bin/pip	pip 26.1.2 from /usr/local/lib/python3.13/site-packages/pip (python 3.13) [rc=0]
uv	no		
pipx	no		
poetry	no		
conda	no		
mamba	no		
micromamba	no		
node	yes	/usr/bin/node	v20.20.2 [rc=0]
npm	yes	/usr/bin/npm	10.8.2 [rc=0]
npx	yes	/usr/bin/npx	10.8.2 [rc=0]
corepack	yes	/usr/bin/corepack	0.34.6 [rc=0]
yarn	no		
pnpm	no		
bun	no		
deno	no		
git	yes	/usr/bin/git	git version 2.47.3 [rc=0]
curl	yes	/usr/bin/curl	curl 8.14.1 (x86_64-pc-linux-gnu) libcurl/8.14.1 OpenSSL/3.5.6 zlib/1.3.1 brotli/1.1.0 zstd/1.5.7 libidn2/2.3.8 libpsl/0.21.2 libssh2/1.11.1 nghttp2/1.64.0 nghttp3/1.8.0 librtmp/2.3 OpenLDAP/2.6.10 [rc=0]
wget	yes	/usr/bin/wget	GNU Wget 1.25.0 built on linux-gnu. [rc=0]
ffmpeg	no		
ffprobe	no		
docker	no		
podman	no		
make	yes	/usr/bin/make	GNU Make 4.4.1 [rc=0]
gcc	yes	/usr/bin/gcc	gcc (Debian 14.2.0-19) 14.2.0 [rc=0]
g++	yes	/usr/bin/g++	g++ (Debian 14.2.0-19) 14.2.0 [rc=0]
clang	no		
clang++	no		
cmake	no		
ninja	no		
pkg-config	yes	/usr/bin/pkg-config	1.8.1 [rc=0]
jq	yes	/usr/bin/jq	jq-1.7 [rc=0]
sqlite3	no		
apt	yes	/usr/bin/apt	apt 3.0.3 (amd64) [rc=0]
apt-get	yes	/usr/bin/apt-get	apt 3.0.3 (amd64) [rc=0]
dpkg	yes	/usr/bin/dpkg	Debian 'dpkg' package management program version 1.22.22 (amd64). [rc=0]
apk	no		
yum	no		
dnf	no		
go	no		
rustc	no		
cargo	no		
java	yes	/usr/bin/java	"openjdk version ""11"" 2018-09-25 [rc=0]"
javac	yes	/usr/bin/javac	javac 11 [rc=0]
R	yes	/usr/bin/R	"R version 4.5.0 (2025-04-11) -- ""How About a Twenty-Six"" [rc=0]"
ruby	no		
perl	yes	/usr/bin/perl	This is perl 5, version 40, subversion 1 (v5.40.1) built for x86_64-linux-gnu-thread-multi [rc=0]
php	no		
tar	yes	/usr/bin/tar	tar (GNU tar) 1.35 [rc=0]
unzip	yes	/usr/bin/unzip	UnZip 6.00 of 20 April 2009, by Debian. Original by Info-ZIP. [rc=0]
7z	no		
rsync	no		
aria2c	no		
ssh	yes	/usr/bin/ssh	OpenSSH_10.0p2 Debian-7+deb13u4, OpenSSL 3.5.6 7 Apr 2026 [rc=0]
openssl	yes	/usr/bin/openssl	OpenSSL 3.5.6 7 Apr 2026 (Library: OpenSSL 3.5.6 7 Apr 2026) [rc=0]
ping	yes	/usr/bin/ping	ping from iputils 20240905 [rc=0]
dig	no		
host	no		
nslookup	no		
nc	no		
socat	yes	/usr/bin/socat	socat by Gerhard Rieger and contributors - see www.dest-unreach.org [rc=0]
time	no		
fio	no		
hyperfine	no		
stress-ng	no		
nvidia-smi	no		
pandoc	no		
