seq,path,created_utc,created_ist,created_ns_of_second,created_ns_epoch,birth_time_source,modified_utc,bytes,sha256,origin
1,envcheck/session1/bg_start.txt,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,9,a7a5b1464f5306178d5c3e74efa8665f47acda26775ad6822596a0d484f879e0,relocated/copied this turn; content authored in an earlier turn
2,envcheck/session1/cpu_bench.py,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,2335,7ecc46547e253622ca5ea0b90fae398d633d1f4220b7a82e4f3f5d3a6cf60aff,relocated/copied this turn; content authored in an earlier turn
3,envcheck/session1/cpu_bench2.py,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,2895,065551b8967fde74792b38c5eb8f1ddbbb19d232b90d80b8de34edccefab83b1,relocated/copied this turn; content authored in an earlier turn
4,envcheck/session1/disk_bench.py,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,2728,723fea5f2e10181bbf5157eb9e9cc4a4c2b3adbcfcb9a043da881920aa40e3f8,relocated/copied this turn; content authored in an earlier turn
5,envcheck/session1/mem_progress.log,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,835,1a2e35a2570d73f0f3411361212ca4fef30038a34588757cfb63216afd76c814,relocated/copied this turn; content authored in an earlier turn
6,envcheck/session1/memtest.py,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,1039,1a7d44b4f00d80595f0eb3d23e6f997ef552bb3e7aec89eabafaf048848fb71e,relocated/copied this turn; content authored in an earlier turn
7,envcheck/session1/net_throughput.py,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,2829,bbe020a5d21e1fe828062e75e37e77fda3127c9ec68b64589ef35bfd12b0b2ad,relocated/copied this turn; content authored in an earlier turn
8,envcheck/session1/net_workload.py,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,1373,d3bcbc85365e53639fa1859e0928e8483d1a77d15631e8781423e56682ed84fe,relocated/copied this turn; content authored in an earlier turn
9,envcheck/session1/portscan.py,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,1301,1a2708b214a55e3a68dd8946e90770087f202852e02fda3df6994f5f1b120b30,relocated/copied this turn; content authored in an earlier turn
10,envcheck/session1/tcp_bench.py,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 13:44:24.468689 UTC,2100,3455f40e54d3446852bef82a41576890e7b02eca91b0de3db16d2d91db8d51e1,relocated/copied this turn; content authored in an earlier turn
11,environment_characterization.md,2026-09-04 13:44:24.468689 UTC,2026-09-04 19:14:24.468689 IST,468689453,1788529464.468688965,statx birth time via coreutils stat,2026-09-04 14:38:37.245771 UTC,89786,3562daa51c26cc59dd29d9e657121729498a5b2007ea874b0f2c095755f6a033,authored in an earlier turn (birth = workspace-restore instant)
12,envcheck/probe.sh,2026-09-04 13:47:52.616689 UTC,2026-09-04 19:17:52.616689 IST,616689453,1788529672.616688967,statx birth time via coreutils stat,2026-09-04 14:19:51.828689 UTC,59897,4b424ca24b2733e5790dbdfcc403b674eb412b899eaaf7026ac598f3bfc588c5,authored this turn
13,envcheck/probe_background.sh,2026-09-04 13:48:08.912689 UTC,2026-09-04 19:18:08.912689 IST,912689453,1788529688.912688971,statx birth time via coreutils stat,2026-09-04 13:48:08.912689 UTC,1720,b7343e10dd7363b1503d726d03bc4fa62cf5f05ccab46cf767d22fc0601d9bb5,authored this turn
14,envcheck/diff_run.sh,2026-09-04 13:48:21.428689 UTC,2026-09-04 19:18:21.428689 IST,428689453,1788529701.428689003,statx birth time via coreutils stat,2026-09-04 14:16:31.808689 UTC,3796,a1a473a9e24a6b1d6d44f0cd05b527b5715abea1d0c8272104a4c0f89f9896e3,authored this turn
15,envcheck/normalize.py,2026-09-04 13:48:42.804689 UTC,2026-09-04 19:18:42.804689 IST,804689453,1788529722.804688931,statx birth time via coreutils stat,2026-09-04 14:18:23.388690 UTC,6130,0a8e1d48ee819941fbf87df5a56f25c8a01c6baacfa2522594a774fb143ed629,authored this turn
16,envcheck/legacy_raw/cpu.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,1041,59f268ee33bfe2de14b440a3308d357585d54b8acaa121d09f356b48544d084e,relocated/copied this turn; content authored in an earlier turn
17,envcheck/legacy_raw/cpu2.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,1181,fb4420c9e67adc2874fcc5ddd771aceac455306561416f44b81e4063d40ed6dd,relocated/copied this turn; content authored in an earlier turn
18,envcheck/legacy_raw/disk.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,1530,76bd57c6ebe9cea3b7ee877b078385ed008ef7050ecf18bf7f3295fe240b7b09,relocated/copied this turn; content authored in an earlier turn
19,envcheck/legacy_raw/dns.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,1314,3d09be9aa78ab9980008d3c322e549cf996517c42f51e3d8850e94abbf605394,relocated/copied this turn; content authored in an earlier turn
20,envcheck/legacy_raw/net_workload.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,475,31dc52449fa0df63e7e86d6fe4c68dd860bb97ac537ab1d24c7e42d90c9451a7,relocated/copied this turn; content authored in an earlier turn
21,envcheck/legacy_raw/ports.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,2481,53d3c031d9c9178a971367596bda20638be27c5e651a3ad605b36716083ef075,relocated/copied this turn; content authored in an earlier turn
22,envcheck/legacy_raw/scale.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,465,ccc2835b4c8ca7cfcada82cc0c6fb5e50444f0ed7635ed5be80715a0665e6665,relocated/copied this turn; content authored in an earlier turn
23,envcheck/legacy_raw/tcp.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,1998,98968ab0defee862ce9f93b2a004914751512d48437d48c866199bacc9348977,relocated/copied this turn; content authored in an earlier turn
24,envcheck/legacy_raw/throughput.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,2718,e9a4506b8212b820d8f94820eca739193f96606ee3bbb430749020f96c1cad00,relocated/copied this turn; content authored in an earlier turn
25,envcheck/legacy_raw/tools.txt,2026-09-04 13:54:28.500689 UTC,2026-09-04 19:24:28.500689 IST,500689453,1788530068.500689030,statx birth time via coreutils stat,2026-09-04 13:54:28.500690 UTC,3299,a3cce2a2c5e97f00ad5c9c2ef8730df37949da6867fc7ede6fa77fdf04022967,relocated/copied this turn; content authored in an earlier turn
26,envcheck/.probe_log,2026-09-04 13:54:29.860689 UTC,2026-09-04 19:24:29.860689 IST,860689453,1788530069.860688925,statx birth time via coreutils stat,2026-09-04 14:12:57.664690 UTC,403,3ea5961aa4fc0fc10c2c99b23d68cfac0144a17fdaea2377efd10ba0aa49584f,authored this turn
27,envcheck/.probe_status,2026-09-04 13:54:29.860689 UTC,2026-09-04 19:24:29.860689 IST,860689453,1788530069.860688925,statx birth time via coreutils stat,2026-09-04 14:12:57.668689 UTC,60,4d6238caec5e434afcc71c176057621bfee9e68c81946ad38697f512411bd315,authored this turn
28,envcheck/raw/00_meta.txt,2026-09-04 13:54:29.884689 UTC,2026-09-04 19:24:29.884689 IST,884689453,1788530069.884689093,statx birth time via coreutils stat,2026-09-04 14:24:17.948689 UTC,1520,bac85898ec2098937f8e3cfea178e73068afdaf685f00c1bc51400bcac500597,authored this turn
29,envcheck/raw/01_runtime.txt,2026-09-04 13:54:29.920689 UTC,2026-09-04 19:24:29.920689 IST,920689453,1788530069.920689106,statx birth time via coreutils stat,2026-09-04 14:20:12.472689 UTC,5990,1d0169fdf91c5165233b06d0829ebc60f255c5ebe547ec5ad7faf96659fabdb5,authored this turn
30,envcheck/raw/02_isolation.txt,2026-09-04 13:54:30.036689 UTC,2026-09-04 19:24:30.036689 IST,036689453,1788530070.036689043,statx birth time via coreutils stat,2026-09-04 14:20:12.624689 UTC,9956,a654f3034a927ea58a6dcd8283b5be62e8e510450ad1c23987a82bb0b43a12b9,authored this turn
31,envcheck/raw/03_limits.txt,2026-09-04 13:54:30.196689 UTC,2026-09-04 19:24:30.196689 IST,196689453,1788530070.196688890,statx birth time via coreutils stat,2026-09-04 14:20:12.672689 UTC,3027,44ae85442ad3c0e9a0739cb636e89b2cd901c14441611fa0cfdd4d731361f4fc,authored this turn
32,envcheck/raw/04_users.txt,2026-09-04 13:54:30.248689 UTC,2026-09-04 19:24:30.248689 IST,248689453,1788530070.248688936,statx birth time via coreutils stat,2026-09-04 14:20:12.764689 UTC,2254,0ffeb5913a1a72356e1cbc3c07a7eab2f7076fd41050dddd069bd3a77923cbe8,authored this turn
33,envcheck/raw/05_tools.txt,2026-09-04 13:54:30.340689 UTC,2026-09-04 19:24:30.340689 IST,340689453,1788530070.340688944,statx birth time via coreutils stat,2026-09-04 14:20:14.324689 UTC,8790,617438cc75eec6166f397e0293984b1bdd28afa7a48848b3fbc9fa71dd2fb73d,authored this turn
34,envcheck/raw/06_pkg_and_compile.txt,2026-09-04 13:54:31.416689 UTC,2026-09-04 19:24:31.416689 IST,416689453,1788530071.416688919,statx birth time via coreutils stat,2026-09-04 14:20:19.536690 UTC,5093,c053f688e4f4b073594e118ccbce9799401233584f9d6a6de62df92bf95a698f,authored this turn
35,envcheck/raw/06b_pip_freeze_sorted.txt,2026-09-04 13:54:32.568689 UTC,2026-09-04 19:24:32.568689 IST,568689453,1788530072.568689108,statx birth time via coreutils stat,2026-09-04 14:20:15.512689 UTC,3199,b0c24c82f6067fcb8a1286b52712f9137c9fdc8f6fb9507b0f0a101f4cb976e5,authored this turn
36,envcheck/raw/07_filesystem.txt,2026-09-04 13:54:36.532689 UTC,2026-09-04 19:24:36.532689 IST,532689453,1788530076.532689095,statx birth time via coreutils stat,2026-09-04 14:20:19.968689 UTC,7294,67f28153310d5a4c744dab11c0b1b07a4207229cbe89cdc7c2bd69c6c3d61420,authored this turn
37,envcheck/raw/08_persistence.txt,2026-09-04 13:54:36.988689 UTC,2026-09-04 19:24:36.988689 IST,988689453,1788530076.988688946,statx birth time via coreutils stat,2026-09-04 14:20:20.024689 UTC,2870,1faaeff285322e00d8981ec2c7867d142a94b41c3f62d1b28b8cf7c00542e682,authored this turn
38,envcheck/raw/.persist/writer.txt,2026-09-04 13:54:37.000689 UTC,2026-09-04 19:24:37.000689 IST,000689453,1788530077.000689030,statx birth time via coreutils stat,2026-09-04 14:20:19.984689 UTC,34,876a73cd843a7cd9f3218a54d8f272fa038f7683a408613f21f0a82ee2ecc744,authored this turn
39,envcheck/raw/09_net_matrix.txt,2026-09-04 13:54:37.040689 UTC,2026-09-04 19:24:37.040689 IST,040689453,1788530077.040688992,statx birth time via coreutils stat,2026-09-04 14:22:53.948689 UTC,9413,a3d749bfb7c49d9a5dd18e22c7d8da7e7032f714644d66ba701f7d00ce9789e2,authored this turn
40,envcheck/README.md,2026-09-04 13:55:35.976689 UTC,2026-09-04 19:25:35.976689 IST,976689453,1788530135.976689100,statx birth time via coreutils stat,2026-09-04 14:26:13.724689 UTC,8139,fb9811487165fa2dc8c8e3f37420bbb25acf3759acaf946c504230f485f3dd2c,authored this turn
41,envcheck/raw/10_net_dns.txt,2026-09-04 13:57:10.988689 UTC,2026-09-04 19:27:10.988689 IST,988689453,1788530230.988688946,statx birth time via coreutils stat,2026-09-04 14:22:54.256690 UTC,2749,8e6319abbd307bffdf196d8915be68947132512df445239e15c8fa089360f8cd,authored this turn
42,envcheck/raw/11_net_latency.txt,2026-09-04 13:57:11.392689 UTC,2026-09-04 19:27:11.392689 IST,392689453,1788530231.392688990,statx birth time via coreutils stat,2026-09-04 14:22:54.964689 UTC,2433,f3d3251722855522065ab862b20849b5a2f99dd2a64e77daaf2866f1fa62331c,authored this turn
43,envcheck/raw/12_net_throughput.txt,2026-09-04 13:57:12.080689 UTC,2026-09-04 19:27:12.080689 IST,080689453,1788530232.080688953,statx birth time via coreutils stat,2026-09-04 14:23:16.956689 UTC,3103,929c208ea1111cb39e064292aaac550b4d4288c6222beed12a01ea582131994f,authored this turn
44,envcheck/raw/13_net_egress_proof.txt,2026-09-04 13:57:33.452689 UTC,2026-09-04 19:27:33.452689 IST,452689453,1788530253.452688932,statx birth time via coreutils stat,2026-09-04 14:23:43.024689 UTC,1932,485d344d6087ddb3bffe509fb7d328070221f0311ac89c5407a3d584a56c6fa1,authored this turn
45,envcheck/raw/14_bench_cpu.txt,2026-09-04 13:57:59.548689 UTC,2026-09-04 19:27:59.548689 IST,548689453,1788530279.548688889,statx birth time via coreutils stat,2026-09-04 14:23:57.964689 UTC,2245,42b632d7d6a0f3532142a0e20ba921e8b7e3d7fd75b9e30377ba320e4a4df0a7,authored this turn
