host:port                            result        ms  detail
github.com:22                          OPEN      6.46  b'SSH-2.0-cb4a187\r\n'
github.com:80                          OPEN      1.53  b''
github.com:443                         OPEN      1.97  b''
github.com:3000                        OPEN      1.82  b''
github.com:5432                        OPEN      2.22  b''
github.com:8080                        OPEN     10.56  b''
github.com:8443                        OPEN      2.01  b''
github.com:9000                        OPEN      1.90  b''
1.1.1.1:53                             OPEN      0.62  b''
1.1.1.1:80                             OPEN      0.53  b''
1.1.1.1:123                            OPEN      0.40  b''
1.1.1.1:443                            OPEN      0.41  b''
1.1.1.1:853                            OPEN      0.54  b''
1.1.1.1:54321                          OPEN      0.47  b''
8.8.8.8:53                             OPEN      0.45  b''
8.8.8.8:443                            OPEN      0.48  b''
speed.cloudflare.com:80                OPEN     21.01  b''
speed.cloudflare.com:443               OPEN     20.66  b''
speed.cloudflare.com:8080              OPEN      1.90  b''
scanme.nmap.org:21                     OPEN     77.88  b''
scanme.nmap.org:22                     OPEN      1.92  b'SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.'
scanme.nmap.org:23                     OPEN     68.42  b''
scanme.nmap.org:25                     OPEN      8.80  b''
scanme.nmap.org:53                     OPEN     72.45  b''
scanme.nmap.org:80                     OPEN     69.41  b''
scanme.nmap.org:110                    OPEN      1.88  b''
scanme.nmap.org:135                    OPEN      1.80  b''
scanme.nmap.org:139                    OPEN      1.61  b''
scanme.nmap.org:443                    OPEN      1.44  b''
scanme.nmap.org:445                    OPEN      2.05  b''
scanme.nmap.org:993                    OPEN      2.24  b''
scanme.nmap.org:995                    OPEN      1.55  b''
scanme.nmap.org:1433                   OPEN      1.62  b''
scanme.nmap.org:3306                   OPEN      1.65  b''
scanme.nmap.org:3389                   OPEN    125.72  b''
scanme.nmap.org:5900                   OPEN      1.68  b''
scanme.nmap.org:8000                   OPEN      1.46  b''
scanme.nmap.org:8080                   OPEN      1.65  b''
scanme.nmap.org:8888                   OPEN      1.47  b''
scanme.nmap.org:9999                   OPEN      1.52  b''
