host	iteration	status	elapsed_ms	addresses	error
google.com	1	ok	3.266	2607:f8b0:400e:c08::64,2607:f8b0:400e:c08::66,2607:f8b0:400e:c08::71,2607:f8b0:400e:c08::8a,74.125.195.100,74.125.195.101,74.125.195.102,74.125.195.113,74.125.195.138,74.125.195.139	
google.com	2	ok	2.051	172.253.117.100,172.253.117.101,172.253.117.102,172.253.117.113,172.253.117.138,172.253.117.139,2607:f8b0:400e:c08::64,2607:f8b0:400e:c08::65,2607:f8b0:400e:c08::66,2607:f8b0:400e:c08::8b	
google.com	3	ok	2.400	2607:f8b0:400e:c08::64,2607:f8b0:400e:c08::65,2607:f8b0:400e:c08::66,2607:f8b0:400e:c08::8a,74.125.195.100,74.125.195.101,74.125.195.102,74.125.195.113,74.125.195.138,74.125.195.139	
google.com	4	ok	1.005	2607:f8b0:400e:c08::64,2607:f8b0:400e:c08::66,2607:f8b0:400e:c08::71,2607:f8b0:400e:c08::8a,74.125.195.100,74.125.195.101,74.125.195.102,74.125.195.113,74.125.195.138,74.125.195.139	
google.com	5	ok	1.290	2607:f8b0:400e:c08::64,2607:f8b0:400e:c08::65,2607:f8b0:400e:c08::66,2607:f8b0:400e:c08::8b,74.125.142.100,74.125.142.101,74.125.142.102,74.125.142.113,74.125.142.138,74.125.142.139	
github.com	1	ok	1.347	140.82.116.4	
github.com	2	ok	1.082	140.82.116.4	
github.com	3	ok	1.049	140.82.116.4	
github.com	4	ok	1.296	140.82.116.3	
github.com	5	ok	0.970	140.82.116.3	
pypi.org	1	ok	0.750	151.101.0.223,151.101.128.223,151.101.192.223,151.101.64.223,2a04:4e42:200::223,2a04:4e42:400::223,2a04:4e42:600::223,2a04:4e42::223	
pypi.org	2	ok	1.055	151.101.0.223,151.101.128.223,151.101.192.223,151.101.64.223,2a04:4e42:200::223,2a04:4e42:400::223,2a04:4e42:600::223,2a04:4e42::223	
pypi.org	3	ok	0.982	151.101.0.223,151.101.128.223,151.101.192.223,151.101.64.223,2a04:4e42:200::223,2a04:4e42:400::223,2a04:4e42:600::223,2a04:4e42::223	
pypi.org	4	ok	0.789	151.101.0.223,151.101.128.223,151.101.192.223,151.101.64.223,2a04:4e42:200::223,2a04:4e42:400::223,2a04:4e42:600::223,2a04:4e42::223	
pypi.org	5	ok	0.926	151.101.0.223,151.101.128.223,151.101.192.223,151.101.64.223,2a04:4e42:200::223,2a04:4e42:400::223,2a04:4e42:600::223,2a04:4e42::223	
huggingface.co	1	ok	30.883	18.173.252.100,18.173.252.65,18.173.252.86,18.173.252.98,2600:9000:263e:1a00:17:b174:6d00:93a1,2600:9000:263e:7400:17:b174:6d00:93a1,2600:9000:263e:7600:17:b174:6d00:93a1,2600:9000:263e:8c00:17:b174:6d00:93a1,2600:9000:263e:ba00:17:b174:6d00:93a1,2600:9000:263e:d000:17:b174:6d00:93a1,2600:9000:263e:da00:17:b174:6d00:93a1,2600:9000:263e:ee00:17:b174:6d00:93a1	
huggingface.co	2	ok	32.894	18.173.252.100,18.173.252.65,18.173.252.86,18.173.252.98,2600:9000:263e:400:17:b174:6d00:93a1,2600:9000:263e:4400:17:b174:6d00:93a1,2600:9000:263e:6000:17:b174:6d00:93a1,2600:9000:263e:6200:17:b174:6d00:93a1,2600:9000:263e:9000:17:b174:6d00:93a1,2600:9000:263e:c400:17:b174:6d00:93a1,2600:9000:263e:ce00:17:b174:6d00:93a1,2600:9000:263e:dc00:17:b174:6d00:93a1	
huggingface.co	3	ok	2.155	18.173.252.100,18.173.252.65,18.173.252.86,18.173.252.98,2600:9000:263e:400:17:b174:6d00:93a1,2600:9000:263e:4400:17:b174:6d00:93a1,2600:9000:263e:6000:17:b174:6d00:93a1,2600:9000:263e:6200:17:b174:6d00:93a1,2600:9000:263e:9000:17:b174:6d00:93a1,2600:9000:263e:c400:17:b174:6d00:93a1,2600:9000:263e:ce00:17:b174:6d00:93a1,2600:9000:263e:dc00:17:b174:6d00:93a1	
huggingface.co	4	ok	31.660	18.173.252.100,18.173.252.65,18.173.252.86,18.173.252.98,2600:9000:263e:1400:17:b174:6d00:93a1,2600:9000:263e:200:17:b174:6d00:93a1,2600:9000:263e:2600:17:b174:6d00:93a1,2600:9000:263e:2800:17:b174:6d00:93a1,2600:9000:263e:4000:17:b174:6d00:93a1,2600:9000:263e:4c00:17:b174:6d00:93a1,2600:9000:263e:5600:17:b174:6d00:93a1,2600:9000:263e:ba00:17:b174:6d00:93a1	
huggingface.co	5	ok	19.403	2600:9000:263e:1400:17:b174:6d00:93a1,2600:9000:263e:200:17:b174:6d00:93a1,2600:9000:263e:2600:17:b174:6d00:93a1,2600:9000:263e:2800:17:b174:6d00:93a1,2600:9000:263e:4000:17:b174:6d00:93a1,2600:9000:263e:4c00:17:b174:6d00:93a1,2600:9000:263e:5600:17:b174:6d00:93a1,2600:9000:263e:ba00:17:b174:6d00:93a1,3.163.189.114,3.163.189.37,3.163.189.74,3.163.189.90	
