zip_path	category	generation	account	browser	run	sandbox_ids	template_id	vm_class	outer_sha256	date
zips/environment/account_a/Agent 1 chrome.zip	environment	followup	account_a	chrome	1	iim386kr3aoo4j3svsogz,ijwc38wq18p7cu57ydxvn	nlhz8vlwyupq845jsdg9	T	52880dad6738d951ad51a255347297ea54905b282e1456f70ef97e576266dee7	2026-09-04
zips/environment/account_a/Agent 4 chrome.zip	environment	followup	account_a	chrome	4	i0m9mhony51frr3osghn0,im7pcmogyi4h8g6mpiqba	nlhz8vlwyupq845jsdg9,gujonb0q163l15z30yc7	T	0f01d761ded3ddf9ec755bc7ce289029e093e172748f72a179e7054da769662b	2026-09-04
zips/environment/account_a/Agent 5 chrome.zip	environment	followup	account_a	chrome	5	i80n46q8w7lm0xch991wu,iyl5sbten1irtm0cfue4p	nlhz8vlwyupq845jsdg9	T	cfd0179b38fe6e6edce5b56205a38a3b5d6660b6f3fa88b46e54530fda151466	2026-09-04
zips/environment/account_b/Agent 2 brave.zip	environment	followup	account_b	brave	2	i0v44lh3n78xffvhm6u5u,i4i7wdij5c7gh9absvtu8,i54yseeebo34z5jxzvoju	nlhz8vlwyupq845jsdg9	T	55302d915b3c07b1f11bed29738c458ae78e349a417b9dae22281c2cd6d444fa	2026-09-04
zips/environment/account_b/Agent 3 brave.zip	environment	followup	account_b	brave	3	iptxurfwauu23eb0ooerk,iq0hfwsxhi5bhzqv4auur	nlhz8vlwyupq845jsdg9	T	066b4eb2764eea3f7543ad575a637f3c8d83e7d742ab81385d2fc17c09e8e62d	2026-09-04
zips/environment/account_b/Agent 6 brave.zip	environment	followup	account_b	brave	6	i9nxb4qydn3qmwway6hd3,idxwgcmp6a9ioo1823yuk	nlhz8vlwyupq845jsdg9	T	dea4ec47ac81a2e65606778aa4da6895cbce03094d2f47845d4b8fc25e7e53d0	2026-09-04
zips/environment/account_c/Agent 7 edge.zip	environment	followup	account_c	edge	7	i07vrt7m23evfzhmemmqh,ilvohmgrk3rcbvrgm79be	nlhz8vlwyupq845jsdg9	T	5c0f02b35a2f43c633a92e16fed9daa5bf77cd018bfed8fdb084734aa4eac13c	2026-09-04
zips/environment/account_c/Agent 8 edge.zip	environment	followup	account_c	edge	8	i87c7gwotry240rbx1u77,iitws4rrop6j50j2hed7r	nlhz8vlwyupq845jsdg9	T	7fe13f8118d625420a55a2ea14a66b61715acc4be9bf7249666ba2193841c898	2026-09-04
zips/environment/account_c/Agent 9 edge.zip	environment	followup	account_c	edge	9	ixwcucmrk55t9qy240sxo	nlhz8vlwyupq845jsdg9	T	2007bbee89d81a92d4b3fecdf5c06c6f7ba2f53f86c599dbfc18da4c2e3e10a2	2026-09-04
zips/ceilings/account_a/Ceilings 1 chrome.zip	ceilings	new_sessions	account_a	chrome	1				83faeeda79d70a6b83650b97050bd0a4cf5df8bd9c7932cd93705d7020b1a3b6	2026-09-04
zips/ceilings/account_b/Ceilings 3 brave.zip	ceilings	new_sessions	account_b	brave	3				16013673423dc7c59ccffa0fae16071d8bddd3b916cc6291828679a14b2231f0	2026-09-04
zips/ceilings/account_c/Ceilings 2 edge.zip	ceilings	new_sessions	account_c	edge	2				484e0d1bbe86dc0f505d2308febb295424acde1be7e7fa67b2e860e6c903ffa5	2026-09-04
zips/egress/account_a/Egress 1 chrome.zip	egress	new_sessions	account_a	chrome	1			NEW	3c1a7f82d33c156f5cf05351fa4af69eb6ba5f1fde87a9dabd7b4e3b1fab50f7	2026-09-04
zips/egress/account_b/Egress 2 brave.zip	egress	new_sessions	account_b	brave	2			NEW	72a2990c7540bcc0b4d1e7da963c3195d854c9f5703386b230192f7535eb2a82	2026-09-04
zips/egress/account_c/Egress 3 edge.zip	egress	new_sessions	account_c	edge	3			NEW	1ce470c36e838d38113d186ae6fd0cb0c8daa8a762719ce74c5c59a6b87182a9	2026-09-04
zips/provenance/account_a/Provenance 3 chrome.zip	provenance	new_sessions	account_a	chrome	3	i9aekzbsq1tymcft2o0e1	nlhz8vlwyupq845jsdg9	T	32775e06fb465778c4e1b40c5b32ec3db5ebeaf8c4cb709d28219d5beae8e1f1	2026-09-04
zips/provenance/account_b/Provenance 2 brave.zip	provenance	new_sessions	account_b	brave	2	ibbwxrhn0lpoi9ybz9fru	nlhz8vlwyupq845jsdg9	NEW	df0f9fa71def077a63f554265f678163830dd5ec1443d2ad18046afd2d87aed6	2026-09-04
zips/provenance/account_c/Provenance 1 edge.zip	provenance	new_sessions	account_c	edge	1	ia4a7jw0xcyn756c09iwm,i5ppm7iw8cfa89mb7ezsm	nlhz8vlwyupq845jsdg9	T	9f671397bff15f71038b7cfd409ae47fb3f17376daece1630c341c1d8bf0c250	2026-09-04
zips/code_arena/account_a/characterize-code-arena-environment 3 chrome.zip	code_arena	new_sessions	account_a	chrome	3				c9b00727b8e0e0a0144ab26b37109ad4165c9dcdb0ad28907a94b95ee3c6c68a	2026-09-04
zips/code_arena/account_b/characterize-code-arena-environment 2 brave.zip	code_arena	new_sessions	account_b	brave	2				90691ee3838f7187e88878f8fe805222a64f14a86191a18d16f0ee2bebef1acf	2026-09-04
zips/code_arena/account_c/code-arena-sandbox-characterization 1 edge.zip	code_arena	new_sessions	account_c	edge	1				b727292849412d1a6c15f5415facdeb6b76db0519c787304f54f10c7fb685e21	2026-09-04
forensic/evidence/environment/account_c/run9/Agent 9 edge/payload/home/user/environment_evidence_20260904T142002Z-2576.zip	environment	followup	account_c	edge	9	ixwcucmrk55t9qy240sxo	nlhz8vlwyupq845jsdg9	T	e8215900f3136be5bfddbd74233d9c05b48dc7bfff250802f77ffa5e53dfdb9d	2026-09-04
